filename,file prefix,sort order,Title#1,Author#1,Author URI#1,Note#1,Description#1,Container#1,Genre Form#1,Genre Form URI#1,Collection title#1,Collection dates#1,Collection number#1,Abstract#1,Collector#1,Biography#1,Subject#1,Subject URI#1,Collection size#1,Repository#1,Subject#2,Subject URI#2,Subject#3,Subject URI#3,Subject#4,Subject URI#4,IANA Media Type#1,Access restrictions#1,Access restrictions URI#1,Copy restrictions#1,Preferred citation#1,Identifier ARK#1,ln_RECORDID,ln_MEDIAID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME,lnexp_PAGEURL
hol_haynep2.tif,hol_haynep,2,"Hayne, Paul. ALS, 2 pages, March 7, 1875.","Hayne, Paul Hamilton, 1830-1886",http://id.worldcat.org/fast/11467,page 2,"Hayne expresses admiration for Holland's story ""The Mistress of the Manse"" and offers a poem for publication.",Box 1 Folder 41,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/032038890782,431059,125539,4883,hol_haynep2.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~431059~125539
hol_auerbachb1.tif,hol_auerbachb,2,"Auerbach, Berthold. Postcard, in German 2/VIII, 1877.","Auerbach, Berthold, 1812-1882",http://id.loc.gov/authorities/names/n85017032,verso,"Irked by non-communication, Auerbach urgently demands word about his work to be published.",Box 1 Folder 2,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/j9914f52d9x8,429326,125436,4883,hol_auerbachb1.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~429326~125436
hol_auerbachb2.tif,hol_auerbachb,1,"Auerbach, Berthold. Postcard, in German 2/VIII, 1877.","Auerbach, Berthold, 1812-1882",http://id.loc.gov/authorities/names/n85017032,recto,"Irked by non-communication, Auerbach urgently demands word about his work to be published.",Box 1 Folder 2,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/734v1s3578j4,430560,125437,4883,hol_auerbachb2.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430560~125437
hol_bellowsh1.tif,hol_bellowsh,1,"Bellows, Henry W. ALS, 1 page, Dec. 10, 1874.","Bellows, Henry W. (Henry Whitney), 1814-1882",http://id.loc.gov/authorities/names/n88679502,page 1,Bellows regrets he will miss the gathering at Holland's since he will be out of town.,Box 1 Folder 3,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/9p656s5403p9,429332,125438,4883,hol_bellowsh1.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~429332~125438
hol_bloodh_A1.tif,hol_bloodh_A,1,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 1,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/580f6235t856,429338,125439,4883,hol_bloodh_A1.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~429338~125439
hol_bloodh_A2.tif,hol_bloodh_A,2,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 2,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/pt2s8v73p35k,430565,125440,4883,hol_bloodh_A2.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430565~125440
hol_bloodh_B1.tif,hol_bloodh_B,1,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 3,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/ft3r5w77p42v,430570,125441,4883,hol_bloodh_B1.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430570~125441
hol_bloodh_B2.tif,hol_bloodh_B,2,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 4,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/kw96126768m5,430575,125442,4883,hol_bloodh_B2.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430575~125442
hol_bloodh_B3.tif,hol_bloodh_B,3,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 5,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/k1817b69k2kk,430580,125443,4883,hol_bloodh_B3.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430580~125443
hol_bloodh_B4.tif,hol_bloodh_B,4,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames, 1838-1901?",http://id.loc.gov/authorities/names/no00034598,page 6,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,Holland Collection of Literary Letters (MS 168),1850/1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",http://id.worldcat.org/fast/186242,1 box (1 linear foot),University of Colorado Boulder Libraries Rare and Distinctive Collections,Scribner & Co.,http://id.loc.gov/authorities/names/nr90010169,Litterateurs,http://id.worldcat.org/fast/1000472,Periodicals,http://id.worldcat.org/fast/1058072,image/tiff,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",https://ark.colorado.edu/ark:/47540/93321j53c9gv,430585,125444,4883,hol_bloodh_B4.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~60~60~430585~125444
