filename,file prefix,sort order,Title#1,Author#1,Note#1,Description#1,Container#1,Container#2,Collection title#1,Collection dates#1,Collection number#1,Abstract#1,Collector#1,Biography#1,Subject#1,Collection size#1,Repository#1,Access restrictions#1,Copy restrictions#1,Preferred citation#1,ln_RECORDID,ln_MEDIAID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
hol_auerbachb1.tif,hol_auerbachb,2,"Auerbach, Berthold. Postcard, in German 2/VIII, 1877.","Auerbach, Berthold",verso,"Irked by non-communication, Auerbach urgently demands word about his work to be published.",Box 1 Folder 2,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",429326,125436,,hol_auerbachb1.jpg
hol_auerbachb2.tif,hol_auerbachb,1,"Auerbach, Berthold. Postcard, in German 2/VIII, 1877.","Auerbach, Berthold",recto,"Irked by non-communication, Auerbach urgently demands word about his work to be published.",Box 1 Folder 2,,,1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430560,125437,,hol_auerbachb2.jpg
hol_bellowsh1.tif,hol_bellowsh,1,"Bellows, Henry W. ALS, 1 page, Dec. 10, 1874.","Bellows, Henry W",page 1,Bellows regrets he will miss the gathering at Holland's since he will be out of town.,Box 1 Folder 3,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",429332,125438,,hol_bellowsh1.jpg
hol_bloodh_A1.tif,hol_bloodh_A,1,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 1,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",429338,125439,,hol_bloodh_A1.jpg
hol_bloodh_A2.tif,hol_bloodh_A,2,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 2,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430565,125440,,hol_bloodh_A2.jpg
hol_bloodh_B1.tif,hol_bloodh_B,1,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 3,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430570,125441,,hol_bloodh_B1.jpg
hol_bloodh_B2.tif,hol_bloodh_B,2,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 4,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430575,125442,,hol_bloodh_B2.jpg
hol_bloodh_B3.tif,hol_bloodh_B,3,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 5,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430580,125443,,hol_bloodh_B3.jpg
hol_bloodh_B4.tif,hol_bloodh_B,4,"Blood, Henry Ames. ALS, 2 pages plus 4 page holograph poem, signed, March 15, 1875.","Blood, Henry Ames",page 6,"Blood is much moved at acceptance of his ""Song of the Saboyards"" poem by Holland. Poem enclosed.",Box 1 Folder 4,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",430585,125444,,hol_bloodh_B4.jpg
hol_bonapartec.tif,hol_bonapartec,1,"Bonaparte, Charles J. ALS, 1 page, April 15, 1875.","Bonaparte, Charles J",page 1,Napoleon Bonaparte's grandnephew tells Holland that his grandmother's account of her marriage to Napoleon's brother are not available for publication.,Box 1 Folder 5,,Holland Collection of Literary Letters (MS 168),1850-1880,MS 168,"Letters written to Josiah Gilbert Holland (and a few to his staff) - written during the term of his editorship of Scribner's Monthly, of which he was co-founder, from 1870-1881, unless noted otherwise on the comment sheets.","Holland, J. G. (Josiah Gilbert), 1819-1881","Josiah Gilbert Holland (1819-1881) was a doctor turned popular 19th century novelist, poet, and lecturer. He served as editor for the ""Springfield Republican"" from 1849-1866. In 1870, he founded ""Scribner's Monthly,"" the most prominent literary magazine at the time, with his friend, Roswell Smith. Some of Dr. Holland's works include ""Kathrina,"" ""Bittersweet,"" and ""The Life of Abraham Lincoln."" He died on October 12, 1881 in New York.","Holland, J. G. (Josiah Gilbert), 1819-1881",1 box (1 linear foot),University of Colorado at Boulder Libraries. Special Collections Dept.,The collection is open for research. File 1 contains collection information that is closed to the public.,Limited duplication of materials allowed for research purposes. User is responsible for all copyright compliance.,"Holland Collection of Literary Letters (MS 168), University of Colorado at Boulder Libraries. Special Collections Dept.",429344,125445,,hol_bonapartec1.jpg
